,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,neighborhood,id
0,403 Restaurant,Chinese Restaurant,403 Church Ave,East 4th St,40.63945917816107,-73.97972826097855,"[{'label': 'display', 'lat': 40.63945917816107, 'lng': -73.97972826097855}]",103,11218,US,Brooklyn,NY,United States,"['403 Church Ave (East 4th St)', 'Brooklyn, NY 11218', 'United States']",,4c7c6874247cb60c6f375e5e
1,Radhuni Restaurant,Halal Restaurant,483 McDonald Ave,,40.6423576750875,-73.97920071268095,"[{'label': 'display', 'lat': 40.6423576750875, 'lng': -73.97920071268095}, {'label': 'entrance', 'lat': 40.642382, 'lng': -73.979181}]",342,11218,US,Brooklyn,NY,United States,"['483 McDonald Ave', 'Brooklyn, NY 11218', 'United States']",,56074d7e498ecd0d69d3a282
2,El Morro Restaurant & Bar,Restaurant,3712 13th Ave,,40.641552586418804,-73.98533588314885,"[{'label': 'display', 'lat': 40.641552586418804, 'lng': -73.98533588314885}]",431,11218,US,Brooklyn,NY,United States,"['3712 13th Ave', 'Brooklyn, NY 11218', 'United States']",,4bfff933147bd13a0c7c2a4d
3,Mi Barrio Taqueria Restaurant,Mexican Restaurant,3415 14th Ave,,40.641597999999995,-73.98145799999999,"[{'label': 'display', 'lat': 40.641597999999995, 'lng': -73.98145799999999}, {'label': 'entrance', 'lat': 40.641641, 'lng': -73.981463}]",228,11218,US,Brooklyn,NY,United States,"['3415 14th Ave', 'Brooklyn, NY 11218', 'United States']",,514bbad4e4b068662028db31
4,Ghoroa Sweets and Restaurant,Restaurant,,,40.642388000000004,-73.979681,"[{'label': 'display', 'lat': 40.642388000000004, 'lng': -73.979681}, {'label': 'entrance', 'lat': 40.642404, 'lng': -73.979542}]",329,11218,US,Brooklyn,NY,United States,"['Brooklyn, NY 11218', 'United States']",,4cb72a73e262b60c083a74e0
5,Ambrosia Italian and Albanian Restaurant,Food,90 Church Ave,,40.642364501953125,-73.97987365722656,"[{'label': 'display', 'lat': 40.642364501953125, 'lng': -73.97987365722656}]",322,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,4f324d4719836c91c7ca4a1e
6,Greenhouse Restaurant,Indian Chinese Restaurant,90 Church Ave,,40.642364501953125,-73.97987365722656,"[{'label': 'display', 'lat': 40.642364501953125, 'lng': -73.97987365722656}]",322,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,543052e7498e15b89f88b167
7,Zaffran Party Hall & restaurant,,90 Church Ave,,40.642579503027726,-73.97991237954025,"[{'label': 'display', 'lat': 40.642579503027726, 'lng': -73.97991237954025}]",344,11218,US,Brooklyn,NY,United States,"['90 Church Ave', 'Brooklyn, NY 11218', 'United States']",,4cdf5159df986ea80d92e116
8,Little Bandgladesh Restaurant,Food,483 McDonald Ave,,40.6424,-73.979015,"[{'label': 'display', 'lat': 40.6424, 'lng': -73.979015}]",353,11218,US,Brooklyn,NY,United States,"['483 McDonald Ave', 'Brooklyn, NY 11218', 'United States']",,4f32463019836c91c7c77d1e
9,Jerusalem Restaurant,Middle Eastern Restaurant,4022 14th Ave,,40.638417,-73.985302,"[{'label': 'display', 'lat': 40.638417, 'lng': -73.985302}, {'label': 'entrance', 'lat': 40.638375, 'lng': -73.985233}]",390,11218,US,Brooklyn,NY,United States,"['4022 14th Ave', 'Brooklyn, NY 11218', 'United States']",,4f327baa19836c91c7dc2deb
0,La Strada Pizzeria & Restaurant,Pizza Place,5023 10th Ave,50th St.,40.63787130143007,-73.99984195063007,"[{'label': 'display', 'lat': 40.63787130143007, 'lng': -73.99984195063007}, {'label': 'entrance', 'lat': 40.637913, 'lng': -73.999681}]",402,11219,US,Brooklyn,NY,United States,"['5023 10th Ave (50th St.)', 'Brooklyn, NY 11219', 'United States']",,4a9ac439f964a5208f3220e3
