name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
CJ’s Cafe Utica (formerly C&J Jamaican Restaurant),Restaurant,90,"817 Utica Avenue, Brooklyn",817 Utica Ave,90
El Nuevo Yauco,El Nuevo Yauca,93,"465 Bushwick Avenue, Brooklyn",465 Bushwick Ave,90
H&I EXPRESS THAI,Mekong Thai & Vietnamese Restaurant,86,"459 Bushwick Avenue, Brooklyn",brooklyn,90
Mi Bella Cholulita,Mi Barrio Taqueria Restaurant,86,"884 Broadway, Brooklyn",brooklyn,90
Milly's,Milly's Pizzeria,90,"834 Broadway, Brooklyn",brooklyn,90
Divine Bar,Divine Bar & Grill,90,"896 Broadway, Brooklyn",896 Broadway,90
La Placita Puebla,La Strada Pizzeria & Restaurant,86,"830 Broadway, Brooklyn",brooklyn,90
Crisis Bar,El Morro Restaurant & Bar,86,"913 Broadway, Brooklyn",913 Broadway,90
Asian Yummy House,Hunan House Chinese Restaurant,86,"824 Broadway, Brooklyn",824 Broadway,90
Mi Barrio Tortilleria Corporation,Mi Candileja,86,"913 Flushing Avenue, Brooklyn",brooklyn,90
Concrete,El Rincon Restaurant & Grill,68,"906 Broadway, Brooklyn",brooklyn,90
All About Indian Food,all about indian food,100,"443 Bushwick Avenue, Brooklyn",brooklyn,90
Sanchez Deli and Fruit Store,Sanchez Deli & Fruit,95,"816 Broadway, Brooklyn",brooklyn,90
SKYTOWN,Happy Town Chinese Restaurant,64,"921 Broadway, Brooklyn",brooklyn,90
J.K. & Sons,J and R Bakery and Restaurant,86,"801 Broadway, Brooklyn",brooklyn,90
Broadway Organic Deli & Grill,Broadway Deli & Grill,95,"797 Broadway, Brooklyn",brooklyn,90
Little Mo,Little Morocco,90,"1158 Myrtle Avenue, Brooklyn",brooklyn,90
Leaf,Green Leaf Chinese Restaurant,90,"1161 Myrtle Avenue, Brooklyn",brooklyn,90
Bizarre,Arte,68,"12 Jefferson Street, Brooklyn",brooklyn,90
Natural and Organic Deli,Natural And Organic Deli,100,"1203 Myrtle Avenue, Brooklyn",brooklyn,90
