,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
0,McDonald's,ChIJp0_8JtdawokRnsXbhhS7odY,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1008.0,1.0,"3525 Fort Hamilton Parkway, Brooklyn",40.6445724,-73.9876896,Brooklyn,Kensington-Ocean Parkway,88,1
1,Domino's Pizza,ChIJgZN4IiJgwokRy4YIkSN2_SM,2.5,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",500.0,1.0,"14909 Northern Boulevard, Queens",40.7655942,-73.81696149999998,Queens,Murray Hill,110,3
2,KFC,ChIJByl5VSFgwokR_NsbDVfvUzs,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",666.0,1.0,"152-03 Northern Boulevard, Queens",40.765334,-73.81271699999998,Queens,Murray Hill,110,3
3,IHOP,ChIJ27csIglfwokRBOQQZXCZSew,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",1822.0,1.0,"15517 Northern Boulevard, Flushing",40.7644366,-73.8092554,Queens,Murray Hill,110,3
4,Dunkin',ChIJR99FXJRfwokR7ngMJEPkHpo,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",356.0,1.0,"10009 Astoria Boulevard, Queens",40.76218520000001,-73.8689198,Queens,East Elmhurst,46,3
5,Lucky Star,ChIJeY1CH5dfwokRB7Xk0nfybHc,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",65.0,2.0,"94-19 Astoria Boulevard, Queens",40.763095,-73.87443999999998,Queens,East Elmhurst,46,3
6,Domino's Pizza,ChIJa1Lin71fwokRpqpX_XJ-pLo,3.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",363.0,1.0,"3217 Junction Boulevard, Queens",40.75817519999999,-73.87414229999997,Queens,East Elmhurst,46,3
7,Dunkin',ChIJ0ZwMrIlfwokREH27D0vbI0g,3.4,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",71.0,1.0,"Grand Central Parkway, Queens",40.76740209999999,-73.864986,Queens,East Elmhurst,46,3
8,Dunkin',ChIJEbpoUe1fwokRwl1fgHkevWE,3.9,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",239.0,1.0,"10702 Grand Central Parkway East, Queens",40.7673876,-73.86498399999998,Queens,East Elmhurst,46,3
9,Papa John's Pizza,ChIJj9EsSmZhwokRfjUiXZvMyuU,2.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",94.0,1.0,"199-22 Hollis Avenue, Queens",40.70597299999999,-73.75784399999998,Queens,Hollis,80,3
10,Dunkin',ChIJeb1wWhNhwokReos49-CmPWE,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",341.0,1.0,"18711 Jamaica Avenue, Queens",40.7105425,-73.7721468,Queens,Jamaica,86,3
11,Crown Fried Chicken,ChIJ27MduGxhwokR8uQ_dqyxXxs,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",65.0,1.0,"18803 Jamaica Avenue, Hollis",40.7111591,-73.77073740000002,Queens,Jamaica,86,3
12,Burger King,ChIJ-a1M4G1hwokR-ZkRPOkaAUI,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",224.0,1.0,"195-10 Jamaica Avenue, Queens",40.713049100000006,-73.76555440000001,Queens,Hollis,80,3
13,Popeyes Louisiana Kitchen,ChIJ-Y8vWnFhwokR60mxh1nMEI0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",261.0,1.0,"19702 Hillside Avenue, Hollis",40.7182598,-73.76503149999998,Queens,Jamaica Estates-Holliswood,87,3
14,Papa John's Pizza,ChIJcXx-hXlhwokRxu8raEC7zus,3.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",168.0,1.0,"8953 Francis Lewis Boulevard, New York",40.71844040000001,-73.7571141,Queens,Jamaica Estates-Holliswood,87,3
15,Subway,ChIJ2WVQFndhwokRX0muD-g_Scw,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",50.0,1.0,"20206 Hillside Avenue, Queens",40.7198235,-73.76146259999999,Queens,Jamaica Estates-Holliswood,87,3
16,Dunkin',ChIJE5eeG3dhwokRhlwtbqfIU68,3.2,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",185.0,1.0,"202-09 Hillside Avenue, Queens",40.720192,-73.76211059999999,Queens,Jamaica Estates-Holliswood,87,3
17,Panda House,ChIJURWhcndhwokRYXWo_4DLkwg,3.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",62.0,1.0,"204-02 Hillside Avenue, Hollis",40.7202482,-73.76092159999997,Queens,Jamaica Estates-Holliswood,87,3
18,Subway,ChIJrR6LXHthwokRpWbihspZVzg,3.6,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",89.0,1.0,"205-20 Jamaica Avenue, Queens",40.7136029,-73.7544628,Queens,Hollis,80,3
19,McDonald's,ChIJaxu4mfREwokRVyU8XM6Hod8,3.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1743.0,1.0,"2410 Coney Island Avenue, Brooklyn",40.5980781,-73.96142809999998,Brooklyn,Homecrest,81,1
20,KFC,ChIJ6-WzjuxEwokRuIjrvqLVQu8,3.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",583.0,1.0,"2026 Coney Island Avenue, Brooklyn",40.6076531,-73.9622311,Brooklyn,Homecrest,81,1
21,Taco Bell,ChIJQeSzjuxEwokR02aHizHS4f8,3.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",573.0,1.0,"2026 Coney Island Avenue, Brooklyn",40.6076351,-73.9622053,Brooklyn,Homecrest,81,1
22,Dunkin',ChIJM4n_W6ZhwokRV9bvuqFMb2c,3.5,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",165.0,1.0,"18823 Union Turnpike, Queens",40.72963620000001,-73.78050970000002,Queens,Fresh Meadows-Utopia,66,3
23,Domino's Pizza,ChIJwQHXWqZhwokR3FHHJRAT8XM,2.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",443.0,1.0,"18807 Union Turnpike, Queens",40.72953529999999,-73.7809262,Queens,Fresh Meadows-Utopia,66,3
24,Peking,ChIJbXLzg7ZhwokRav_14TE-liQ,3.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",54.0,1.0,"69-78 188th Street, Queens",40.73322530000001,-73.78358859999999,Queens,Fresh Meadows-Utopia,66,3
25,Empire,ChIJF8nhuQBhwokRSxywUNz8cqc,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",36.0,1.0,"17817 Union Turnpike, Flushing",40.7266852,-73.789349,Queens,Fresh Meadows-Utopia,66,3
26,Subway,ChIJM24t7ABhwokRaN0LKu2Yhnk,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",73.0,1.0,"176-71 Union Turnpike, Queens",40.7261831,-73.7910689,Queens,Fresh Meadows-Utopia,66,3
27,Boston Market,ChIJDbqIHbFhwokRCTMRQNFlw34,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",517.0,1.0,"61-45 188th Street, Queens",40.7395755,-73.78565019999998,Queens,Fresh Meadows-Utopia,66,3
28,Five Guys,ChIJpXN6G7FhwokRtBkaHssngkQ,4.2,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",457.0,2.0,"61-22 188th Street, Fresh Meadows",40.73992250000001,-73.786551,Queens,Fresh Meadows-Utopia,66,3
29,QDOBA Mexican Eats,ChIJXwMLA7FhwokRdpWxkv_psqk,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1011.0,1.0,"61-40 188th Street, Queens",40.739449,-73.7864578,Queens,Fresh Meadows-Utopia,66,3
30,Applebee's Grill + Bar,ChIJFdu6A7FhwokROXGrNrWAkTc,4.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1393.0,2.0,"61-48 188th Street, Queens",40.7391689,-73.7864412,Queens,Fresh Meadows-Utopia,66,3
31,King Wok,ChIJx51K07NhwokRH3Tt6uQifAM,2.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,1.0,"184-20 Horace Harding Expressway, New York",40.73974399999999,-73.7893297,Queens,Fresh Meadows-Utopia,66,3
32,Checkers,ChIJP8QfGbVmwokRyUCpiVQ3dxI,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",374.0,1.0,"122-21 Merrick Boulevard, Queens",40.68358129999999,-73.7688541,Queens,St. Albans,153,3
