,Likes,Price,Pop_1E,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E,categories_cat,GeoID_cat
0,0.0,2.0,35510,34.3,76511.0,4140,9845,20759,14751,3,18
1,4.0,2.0,102494,24.7,64990.0,14159,9810,77270,25224,8,38
2,5.0,1.0,35510,34.3,76511.0,4140,9845,20759,14751,9,18
3,0.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,6,7
4,7.0,1.0,90847,38.3,73256.0,18526,18582,40121,50726,3,7
5,17.0,2.0,90847,38.3,73256.0,18526,18582,40121,50726,3,7
6,1.0,2.0,102494,24.7,64990.0,14159,9810,77270,25224,8,38
7,2.0,1.0,50231,44.7,73597.0,8591,8913,20049,30182,3,144
8,42.0,2.0,25677,44.4,70263.0,5290,4420,9197,16480,1,145
9,22.0,3.0,50231,44.7,73597.0,8591,8913,20049,30182,1,144
10,34.0,2.0,50231,44.7,73597.0,8591,8913,20049,30182,1,144
11,0.0,3.0,50231,44.7,73597.0,8591,8913,20049,30182,1,144
12,0.0,2.0,50231,44.7,73597.0,8591,8913,20049,30182,1,144
13,35.0,1.0,50231,44.7,73597.0,8591,8913,20049,30182,1,144
14,0.0,3.0,50231,44.7,73597.0,8591,8913,20049,30182,3,144
15,4.0,2.0,54146,31.2,68097.0,14917,2453,19825,34321,4,127
16,0.0,1.0,19790,36.8,67905.0,3319,2124,9207,10583,3,128
17,0.0,2.0,54146,31.2,68097.0,14917,2453,19825,34321,7,127
18,0.0,1.0,54146,31.2,68097.0,14917,2453,19825,34321,1,127
19,1.0,1.0,98728,40.2,75438.0,16450,19862,41128,57600,3,129
20,2.0,2.0,98728,40.2,75438.0,16450,19862,41128,57600,7,129
21,0.0,1.0,21448,38.6,88956.0,2211,3334,11979,9469,3,114
22,2.0,1.0,26517,42.2,97199.0,2231,8565,12847,13670,3,113
23,0.0,1.0,54256,40.2,90916.0,6104,9162,28533,25723,3,134
24,26.0,2.0,21448,38.6,88956.0,2211,3334,11979,9469,7,114
25,13.0,2.0,26517,42.2,97199.0,2231,8565,12847,13670,5,113
26,0.0,2.0,45007,34.1,83996.0,4767,11106,23783,21224,0,4
27,249.0,2.0,45007,34.1,83996.0,4767,11106,23783,21224,4,4
28,25.0,2.0,45007,34.1,83996.0,4767,11106,23783,21224,3,4
29,1.0,2.0,45007,34.1,83996.0,4767,11106,23783,21224,1,4
30,1.0,2.0,45007,34.1,83996.0,4767,11106,23783,21224,4,4
31,1.0,2.0,18699,43.6,94530.0,1338,6734,9724,8975,1,137
32,1.0,1.0,26517,42.2,97199.0,2231,8565,12847,13670,3,113
33,0.0,1.0,26517,42.2,97199.0,2231,8565,12847,13670,3,113
34,2.0,1.0,53134,39.8,93423.0,4587,8983,34598,18536,2,115
35,0.0,1.0,21207,44.8,112055.0,1322,5131,12962,8245,2,133
36,0.0,2.0,53134,39.8,93423.0,4587,8983,34598,18536,10,115
37,4.0,1.0,53932,36.0,63445.0,10494,8364,19837,34095,3,152
38,2.0,1.0,26517,42.2,97199.0,2231,8565,12847,13670,3,113
39,10.0,1.0,43476,37.2,84052.0,5975,11326,19150,24326,5,135
40,0.0,1.0,53932,36.0,63445.0,10494,8364,19837,34095,9,152
41,1.0,1.0,43476,37.2,84052.0,5975,11326,19150,24326,5,135
42,67.0,1.0,40958,40.7,90492.0,3930,11728,20778,20180,1,20
43,28.0,2.0,40958,40.7,90492.0,3930,11728,20778,20180,0,20
44,0.0,1.0,40958,40.7,90492.0,3930,11728,20778,20180,3,20
45,0.0,1.0,40958,40.7,90492.0,3930,11728,20778,20180,3,20
46,45.0,3.0,40958,40.7,90492.0,3930,11728,20778,20180,0,20
