,Borough,Neighborhood,Latitude,Longitude
0,Brooklyn,Borough Park,40.630957896376444,-73.98866266865282
1,Queens,Murray Hill,40.76835986212814,-73.80954729011228
2,Queens,East Elmhurst,40.76336047230126,-73.86839700569737
3,Queens,Hollis,40.71064759845558,-73.76113842090989
4,Brooklyn,Homecrest,40.59996252149724,-73.96433509678462
5,Queens,Fresh Meadows-Utopia,40.73490275485588,-73.78371773971912
6,Queens,St. Albans,40.69121009574539,-73.76314744440015
7,Queens,Jamaica Estates-Holliswood,40.72066362193258,-73.77610200270877
8,Brooklyn,Madison,40.604921832849726,-73.94813701816618
9,Brooklyn,Kensington-Ocean Parkway,40.64059838889297,-73.97620046026609
10,Brooklyn,Erasmus,40.64612466517937,-73.9516248100162
11,Bronx,Longwood,40.819683347344224,-73.89895819855253
12,Brooklyn,Clinton Hill,40.68797506598958,-73.96236475631551
13,Queens,Jamaica,40.704377019823596,-73.79398104826012
14,Queens,South Jamaica,40.69443572782561,-73.79096525687832
15,Bronx,Pelham Bay-Country Club-City Island,40.84595799393583,-73.80317814590722
16,Queens,Cambria Heights,40.694349738393605,-73.73555555241246
17,Brooklyn,Midwood,40.62093227931865,-73.95682600803892
18,Brooklyn,Gravesend,40.588411050920314,-73.98143193709883
19,Brooklyn,Bensonhurst East,40.601437455423394,-73.98353894761044
20,Brooklyn,Williamsburg,40.7039247823726,-73.95859818061801
21,Brooklyn,Bedford,40.691515751949204,-73.9499064503052
22,Brooklyn,Stuyvesant Heights,40.68817649725448,-73.93188962978753
23,Brooklyn,Ocean Hill,40.67664586946679,-73.91364892699372
24,Brooklyn,Crown Heights North,40.674477621388625,-73.93928859906951
25,Brooklyn,Crown Heights South,40.66654704690117,-73.94878541778132
26,Brooklyn,Rugby-Remsen Village,40.652373051719515,-73.92225239177282
27,Bronx,Allerton-Pelham Gardens,40.86448057032564,-73.84742654968997
28,Brooklyn,Starrett City,40.647534532006965,-73.88241400372354
29,Brooklyn,East Flatbush-Farragut,40.64395521607223,-73.93793125965222
30,Brooklyn,Bushwick South,40.69646707254567,-73.92511614784898
31,Brooklyn,Bushwick North,40.700568940416886,-73.91776743122111
32,Queens,Ridgewood,40.70653962229455,-73.90171682526123
33,Brooklyn,Ocean Parkway South,40.617323199517735,-73.97032723155255
34,Brooklyn,Fort Greene,40.69080335819112,-73.97488291658728
35,Queens,Queensbridge-Ravenswood-Long Island City,40.75757003630032,-73.9387509563066
36,Bronx,West Farms-Bronx River,40.83417338667695,-73.87228862161872
37,Bronx,Parkchester,40.83775490557966,-73.85799025568211
38,Bronx,Soundview-Bruckner,40.82790843870922,-73.86968332545241
39,Queens,Glendale,40.7035432297048,-73.87574966663738
40,Bronx,Van Cortlandt Village,40.87652167433167,-73.89562352096868
41,Queens,Pomonok-Flushing Heights-Hillcrest,40.72834142996581,-73.8024463403249
42,Manhattan,Clinton,40.764174558211174,-73.99239485428079
43,Queens,Queens Village,40.71546279141766,-73.74153317401972
44,Queens,Bellerose,40.735496047346885,-73.72665820505036
45,Queens,Middle Village,40.718346102800325,-73.88005488808078
46,Queens,Elmhurst,40.739503022584366,-73.87711987443843
