,GeoType,GeoID,Borough,Pop_1E,MaleE,FemE,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E
0,NTA2010,BX31,Bronx,31993,15056,16937,42.6,88250.0,4918,6376,19976,12017
1,NTA2010,BX05,Bronx,57685,28284,29401,31.5,54033.0,11098,5270,32066,25619
2,NTA2010,BX06,Bronx,29115,13632,15483,25.2,38077.0,5042,2262,19328,9787
3,NTA2010,BX07,Bronx,39423,19493,19930,35.8,50720.0,7253,4653,26006,13417
4,NTA2010,BX01,Bronx,35560,16138,19422,27.6,37407.0,7170,2104,26091,9469
5,NTA2010,BX13,Bronx,47400,20040,27360,44.9,63295.0,5071,9921,34148,13252
6,NTA2010,BX75,Bronx,22103,10033,12070,32.1,43896.0,4866,2231,14699,7404
7,NTA2010,BX14,Bronx,64850,30243,34607,33.8,46920.0,13385,6850,37748,27102
8,NTA2010,BX17,Bronx,44057,20466,23591,31.6,38738.0,10559,3142,30794,13263
9,NTA2010,BX03,Bronx,37887,16905,20982,36.0,73035.0,4692,5913,22972,14915
10,NTA2010,BX40,Bronx,28164,13372,14792,28.7,36767.0,6432,1366,16330,11834
11,NTA2010,BX26,Bronx,39140,17307,21833,31.1,39706.0,7878,3429,23212,15928
12,NTA2010,BX27,Bronx,26196,13089,13107,31.2,38489.0,6184,1784,17188,9008
13,NTA2010,BX30,Bronx,32163,15074,17089,33.3,46817.0,6768,3167,16689,15474
14,NTA2010,BX33,Bronx,27864,13471,14393,31.2,42083.0,6035,2403,18119,9745
15,NTA2010,BX34,Bronx,42882,20118,22764,29.3,45094.0,8930,3244,29785,13097
16,NTA2010,BX35,Bronx,40925,19130,21795,32.3,47047.0,8326,3546,26890,14035
17,NTA2010,BX39,Bronx,54163,25826,28337,30.2,35589.0,13100,2700,39337,14826
18,NTA2010,BX41,Bronx,53198,25356,27842,30.5,41920.0,11372,4266,28528,24670
19,NTA2010,BX22,Bronx,27551,13025,14526,44.1,126194.0,1674,11558,21007,6544
20,NTA2010,BX43,Bronx,42227,19973,22254,32.6,48141.0,7569,5458,24486,17741
21,NTA2010,BX99,Bronx,831,346,485,27.1,49980.0,106,126,618,213
22,NTA2010,BX46,Bronx,30372,14250,16122,38.5,63544.0,4000,5763,21109,9263
23,NTA2010,BX10,Bronx,26877,12820,14057,43.4,83610.0,2954,6061,22182,4695
24,NTA2010,BX49,Bronx,28913,13880,15033,37.6,75205.0,3726,6602,20132,8781
25,NTA2010,BX98,Bronx,7080,6503,577,34.1,,3062,79,6023,1057
26,NTA2010,BX52,Bronx,46810,22595,24215,39.3,85249.0,5354,8381,38948,7862
27,NTA2010,BX55,Bronx,37130,18263,18867,32.1,47672.0,8420,3070,21814,15316
28,NTA2010,BX09,Bronx,54925,24600,30325,35.9,58824.0,8829,6012,42233,12692
29,NTA2010,BX29,Bronx,31295,14342,16953,42.6,99641.0,3153,11667,22189,9106
30,NTA2010,BX36,Bronx,56293,25681,30612,30.6,38224.0,11033,4375,33932,22361
31,NTA2010,BX28,Bronx,50935,24128,26807,34.3,56925.0,8938,7794,29084,21851
32,NTA2010,BX37,Bronx,29004,14120,14884,33.8,64606.0,4142,4543,19731,9273
33,NTA2010,BX63,Bronx,38081,18289,19792,32.5,42188.0,8457,3408,20231,17850
34,NTA2010,BX08,Bronx,36014,17298,18716,32.5,43953.0,8127,2308,21840,14174
35,NTA2010,BX59,Bronx,28302,13608,14694,35.4,63935.0,4777,3954,17994,10308
36,NTA2010,BX44,Bronx,66606,30359,36247,34.9,59194.0,10002,8606,40372,26234
37,NTA2010,BX62,Bronx,43858,19850,24008,40.2,79562.0,5554,8742,25017,18841
38,NTA2010,BK27,Brooklyn,33020,16544,16476,38.7,82098.0,4833,8031,15890,17130
39,NTA2010,BK31,Brooklyn,79187,38290,40897,39.7,97326.0,7669,28313,52169,27018
40,NTA2010,BK75,Brooklyn,77847,36788,41059,29.4,75825.0,9154,16680,62700,15147
41,NTA2010,BK29,Brooklyn,65502,31941,33561,40.1,73042.0,11778,14577,27924,37578
42,NTA2010,BK28,Brooklyn,90847,44686,46161,38.3,73256.0,18526,18582,40121,50726
43,NTA2010,BK88,Brooklyn,102494,52209,50285,24.7,64990.0,14159,9810,77270,25224
44,NTA2010,BK19,Brooklyn,34431,16003,18428,45.6,61830.0,3685,11984,10279,24152
45,NTA2010,BK09,Brooklyn,24168,11518,12650,37.3,215829.0,459,14831,20301,3867
46,NTA2010,BK81,Brooklyn,52174,21460,30714,36.5,37269.0,8799,4100,37742,14432
47,NTA2010,BK77,Brooklyn,57051,29188,27863,30.7,69755.0,11175,11548,36405,20646
48,NTA2010,BK78,Brooklyn,72925,35336,37589,30.7,66570.0,12502,13571,53511,19414
49,NTA2010,BK50,Brooklyn,88522,38419,50103,37.4,82561.0,7983,16360,49211,39311
50,NTA2010,BK33,Brooklyn,43766,20566,23200,36.1,161484.0,3350,20913,36203,7563
51,NTA2010,BK69,Brooklyn,38930,17745,21185,33.4,109468.0,2335,16773,31966,6964
52,NTA2010,BK61,Brooklyn,109987,50088,59899,34.0,69419.0,13073,26755,77095,32892
53,NTA2010,BK63,Brooklyn,40451,19137,21314,32.7,71827.0,3516,9514,25807,14644
54,NTA2010,BK83,Brooklyn,49063,23720,25343,33.1,64554.0,6977,4266,27611,21452
55,NTA2010,BK38,Brooklyn,45607,21644,23963,33.9,152758.0,4201,21284,36449,9158
56,NTA2010,BK30,Brooklyn,43888,21394,22494,40.5,85576.0,8666,9265,22759,21129
57,NTA2010,BK91,Brooklyn,51922,23013,28909,39.9,72809.0,4517,9106,23931,27991
58,NTA2010,BK82,Brooklyn,96755,43373,53382,33.6,52601.0,11438,8981,65544,31211
59,NTA2010,BK85,Brooklyn,29063,12291,16772,34.0,49135.0,3972,2468,18334,10729
60,NTA2010,BK90,Brooklyn,36038,17390,18648,34.1,91339.0,5405,13048,26632,9406
61,NTA2010,BK95,Brooklyn,28689,12638,16051,35.4,68024.0,2619,5077,14501,14188
62,NTA2010,BK42,Brooklyn,106883,49188,57695,34.8,74156.0,12611,24921,61178,45705
63,NTA2010,BK58,Brooklyn,72186,33934,38252,37.8,92808.0,5685,15546,40844,31342
64,NTA2010,BK68,Brooklyn,32193,14807,17386,35.5,110463.0,3392,11947,24935,7258
65,NTA2010,BK45,Brooklyn,47726,23158,24568,41.3,112856.0,2735,13098,33965,13761
66,NTA2010,BK26,Brooklyn,30587,14418,16169,41.7,68025.0,4622,7343,17182,13405
67,NTA2010,BK76,Brooklyn,33918,16721,17197,35.0,106996.0,2569,16455,24848,9070
68,NTA2010,BK25,Brooklyn,45007,22060,22947,34.1,83996.0,4767,11106,23783,21224
69,NTA2010,BK41,Brooklyn,35510,17886,17624,34.3,76511.0,4140,9845,20759,14751
70,NTA2010,BK44,Brooklyn,40958,20185,20773,40.7,90492.0,3930,11728,20778,20180
71,NTA2010,BK43,Brooklyn,54637,26537,28100,34.1,87150.0,4943,15270,33112,21525
72,NTA2010,BK73,Brooklyn,57036,28602,28434,32.3,126056.0,5860,25475,42759,14277
73,NTA2010,BK79,Brooklyn,35818,17037,18781,32.8,55202.0,5181,4569,25507,10311
74,NTA2010,BK46,Brooklyn,20684,9990,10694,31.8,96193.0,1550,4960,15129,5555
75,NTA2010,BK37,Brooklyn,74731,35709,39022,36.0,176550.0,3220,43249,62461,12270
76,NTA2010,BK99,Brooklyn,432,270,162,38.3,136198.0,5,226,323,109
77,NTA2010,BK64,Brooklyn,21237,10272,10965,36.3,141251.0,1420,11716,16595,4642
78,NTA2010,BK60,Brooklyn,69111,30746,38365,36.1,72416.0,6910,15340,39688,29423
79,NTA2010,BK96,Brooklyn,54666,24073,30593,40.3,65997.0,5799,9246,26245,28421
80,NTA2010,BK21,Brooklyn,32259,14461,17798,38.9,49756.0,5998,5475,20739,11520
81,NTA2010,BK17,Brooklyn,65631,31636,33995,44.3,84027.0,7091,20248,32200,33431
82,NTA2010,BK93,Brooklyn,12956,5251,7705,47.0,37060.0,2089,1820,9224,3732
83,NTA2010,BK35,Brooklyn,69260,32336,36924,33.8,72918.0,7869,15323,55292,13968
84,NTA2010,BK34,Brooklyn,66348,32940,33408,34.0,62320.0,22707,7790,28327,38021
85,NTA2010,BK32,Brooklyn,54667,28716,25951,33.6,76037.0,13846,10073,31031,23636
86,NTA2010,BK23,Brooklyn,16774,7614,9160,57.6,61129.0,802,7356,6151,10623
87,NTA2010,BK72,Brooklyn,34373,17394,16979,18.7,53509.0,4799,1192,30212,4161
88,NTA2010,BK40,Brooklyn,22832,10590,12242,38.0,143550.0,1138,11307,18099,4733
89,NTA2010,MN25,Manhattan,45680,21730,23950,33.8,214165.0,1068,28920,32770,12910
90,NTA2010,MN03,Manhattan,86117,38463,47654,34.9,71178.0,11265,20390,66245,19872
91,NTA2010,MN11,Manhattan,51064,24053,27011,35.2,99074.0,6296,16966,38788,12276
92,NTA2010,MN27,Manhattan,44062,22863,21199,42.7,71131.0,14050,11945,21558,22504
93,NTA2010,MN15,Manhattan,49758,26607,23151,38.7,130078.0,2887,29051,33518,16240
94,NTA2010,MN34,Manhattan,62810,29092,33718,34.1,52105.0,12245,11306,48616,14194
95,NTA2010,MN33,Manhattan,59869,26959,32910,36.1,78355.0,9404,15593,45080,14789
96,NTA2010,MN22,Manhattan,42529,22105,20424,32.0,118140.0,2298,22539,32303,10226
97,NTA2010,MN21,Manhattan,26928,12958,13970,32.9,185239.0,309,16511,22204,4724
98,NTA2010,MN04,Manhattan,52700,26863,25837,34.5,72196.0,9561,13996,33349,19351
99,NTA2010,MN13,Manhattan,76863,40525,36338,37.7,189927.0,3876,47891,54649,22214
100,NTA2010,MN31,Manhattan,81559,37018,44541,38.3,184460.0,1634,49984,58658,22901
101,NTA2010,MN14,Manhattan,62685,27479,35206,41.7,218554.0,1314,41417,48067,14618
102,NTA2010,MN28,Manhattan,68404,30943,37461,42.5,63782.0,14964,17485,47616,20788
103,NTA2010,MN06,Manhattan,23673,10976,12697,33.5,55639.0,3994,4841,14395,9278
104,NTA2010,MN01,Manhattan,52922,24953,27969,36.2,64581.0,9779,11512,29599,23323
105,NTA2010,MN17,Manhattan,27875,13768,14107,36.3,194326.0,845,17876,18819,9056
106,NTA2010,MN09,Manhattan,53094,23633,29461,29.6,117882.0,3599,21186,36941,16153
107,NTA2010,MN20,Manhattan,47775,23031,24744,34.5,150899.0,1996,29042,34591,13184
108,NTA2010,MN99,Manhattan,1885,1742,143,48.8,,909,83,1551,334
109,NTA2010,MN24,Manhattan,42698,20904,21794,36.6,266241.0,3196,24433,30796,11902
110,NTA2010,MN50,Manhattan,22032,9762,12270,36.9,145918.0,329,13340,17844,4188
111,NTA2010,MN19,Manhattan,50180,23088,27092,43.0,223563.0,946,35743,38160,12020
112,NTA2010,MN40,Manhattan,55649,24824,30825,51.2,332403.0,742,38605,44909,10740
113,NTA2010,MN12,Manhattan,132455,60032,72423,43.5,205755.0,7024,78789,104012,28443
114,NTA2010,MN35,Manhattan,73052,35694,37358,37.3,71900.0,13460,21160,39192,33860
115,NTA2010,MN36,Manhattan,93663,46592,47071,35.0,67649.0,21807,20711,48924,44739
116,NTA2010,MN23,Manhattan,66258,32408,33850,37.6,213703.0,797,45280,55084,11174
117,NTA2010,MN32,Manhattan,78241,33079,45162,37.0,168839.0,1643,51730,61082,17159
118,NTA2010,QN98,Queens,0,0,0,,,0,0,0,0
119,NTA2010,QN70,Queens,74767,36031,38736,34.9,83094.0,8040,30392,43807,30960
120,NTA2010,QN48,Queens,20588,10127,10461,44.8,92197.0,2493,5359,10213,10375
121,NTA2010,QN76,Queens,39203,18578,20625,36.8,84877.0,4658,5074,24498,14705
122,NTA2010,QN46,Queens,43212,21089,22123,44.8,104934.0,4213,13928,24573,18639
123,NTA2010,QN43,Queens,27733,13702,14031,39.3,103468.0,2528,6846,15934,11799
124,NTA2010,QN10,Queens,27894,14330,13564,47.9,112818.0,2007,8846,24250,3644
125,NTA2010,QN35,Queens,43476,21347,22129,37.2,84052.0,5975,11326,19150,24326
126,NTA2010,QN33,Queens,21207,9702,11505,44.8,112055.0,1322,5131,12962,8245
