,name,name_cat
0,403 Restaurant,10
1,Mi Barrio Taqueria Restaurant,922
2,Ghoroa Sweets and Restaurant,513
3,Danza's Italian Restaurant,302
4,Silver Star Restaurant,1309
5,Good Day Seafood Restaurant,541
6,Star,1334
7,Dynasty Chinese Restaurant,335
8,San Soo Kap San,1276
9,Bonjuk Korean Traditional Porridge Restaurant,160
10,Geo Si Gi Restaurant,511
11,Korean BBQ Restaurant,740
12,You-Chon Korean Restaurant,1503
13,Mekong Thai & Vietnamese Restaurant,910
14,152-12 Northern Blvd Chinese Restaurant,4
15,Polanco's Restaurant,1165
16,Hing Hing Chinese Restaurant,604
17,El Patio Restaurant,389
18,Number One Chinese,1061
19,Ming Star Chinese Restaurant,936
20,La Nueva Colombia Restaurant,779
21,New Ho Wah,1010
22,Hong Kong Restaurant,616
23,Eastern Restaurant,345
24,Elena's 43,412
25,Rajdhani Indian Restaurant,1208
26,Circles Restaurant,271
27,Taci's Beyti Restaurant,1361
28,Wing Hing Seafood Restaurant,1481
29,New Star Seafood Restaurant,1029
30,At Kazimir Restaurant,91
31,Annie Chan's Japanese Cuisine Restaurant,62
32,China Gourmet Chinese Restaurant,245
33,Seven Stars Chinese Restaurant,1296
34,Latty's Jamaican Restaurant,810
35,Hot Pot Jamaican & American Restaurant,621
36,Queen Of The Sea Restaurant,1203
37,Foo On Restaurant,462
38,Number One Chinese Restaurant,1062
39,Sagar Restaurant,1263
40,Candiluz Restaurant,199
41,Ghoroa Sweets & Restaurant,512
42,Phở Hoài Restaurant,1147
43,Three Star Restaurant,1411
44,East Ocean Seafood Restaurant,344
45,Best China,138
46,Buckley's Restaurant and Catering,178
47,Osaka Japanese restaurant,1090
48,Mei Mei Chinese Restaurant,908
49,Sakura,1267
50,Dragon Chinese Restaurant,324
51,China Dragon Restaurant,240
52,Breeze's Jamaican Restaurant,169
53,Green Lake Chinese Restaurant,560
54,Bake & Things Restaurant,112
55,Chang Jiang Kitchen Chinese Restaurant,227
56,Venice Restaurant & Pizzeria,1460
57,Kum Kau,746
58,Los Pollitos III,836
59,Thai 101,1392
60,Myrtle Thai,970
61,Castros,219
62,New No. 1 Chinese Restaurant,1019
63,Shanghai Chinese Restaurant,1301
64,Dragon City Chinese Restaurant,325
65,Eagle Lounge Restaurant & Bar,337
66,New Yu Yee Chinese Restaurant,1038
67,Mangoville,880
68,Dai Hing Chinese Restaurant,299
69,Poloros Restaurant,1171
70,Maxim Garden Chinese Restaurant,900
71,Best Food Restaurant,139
72,Kam Hung,707
73,Island Tropics Caribbean Restaurant,655
74,Lynx Restaurant Bar & Grill,861
75,O Lavrador,1064
76,Port Royal Jamaican Restaurant,1176
77,East Dynasty Chinese Restaurant,339
78,City Island Tapas Restaurant,274
79,Lucca Italian Restaurant,842
80,Giovanni's Italian Restaurant,525
81,Mexico Magico Restaurant,917
82,K V Q Chinese Restaurant,701
83,Lee Xing,818
84,King Hing,725
85,Sea Shore Restaurant & Marina,1287
86,Portofino Restaurant,1178
87,Crab Shanty,286
88,Sammy's Fish Box Restaurant,1272
89,Johnny's Famous Reef Restaurant,688
90,Sammy's Shrimp Box Restaurant,1273
91,Tony's Pier Restaurant,1426
92,Lobster Box,830
93,3 J's International Restaurant,9
94,Sally's Restaurant,1270
95,Concetta's,280
96,Empire House Chinese Food,421
97,HoWong Restaurant 好旺,607
98,Ortobello's Restaurant,1089
99,Istanbul Turkish Fast Food & Restaurant,657
100,Sake Sushi Restaurant,1266
101,La Isla Restaurant,775
102,China City,238
103,Good Friends Chinese Restaurant,544
104,Mi Parador Restaurant,923
105,Kalina Restaurant,706
106,Xing Wang Restaurant,1490
107,Zefe's Mexican Restaurant,1508
108,Big Apple Restaurant,143
109,Villa Castillo,1464
110,Brooklyn Beso,172
111,New Era Restaurant & Lounge,1000
112,PJ Restaurant & Bakery,1095
113,564 Grand Restaurant,14
114,New Peking Chinese Restaurant,1022
115,Balboa Caribbean restaurant,115
116,New Peking Chinese Restaurant,1022
117,China Hao Restaurant,246
118,Cafe Alta Restaurant,186
119,C & J Jamaican Restaurant,183
120,Caridad & Louie,208
121,Fratelli's,477
122,Internacional Restaurant & Deli,650
123,Mandarin Wok,876
124,Good Taste,547
125,Panda chinese restaurant,1106
126,Dynasty Chinese Restaurant,335
127,Best Wok Chinese Restaurant,142
128,Best Bites,137
129,Cecilia Restaurant,222
130,El Jaripeo Mexican Restaurant,374
131,La Gran Cabana Restaurant,772
132,Arepera Guacuco Restaurant,74
133,No.1 Kitchen Chinese Restaurant,1053
134,Nepalese Indian Restaurant,984
135,Claribel Restaurant,275
136,marianita's restaurant,1516
137,Lee Garden Chinese,817
138,Sabor Del Austro Restaurant,1259
139,Guadalajara Restaurant,565
140,Aunt Bella,96
141,King Wah,730
142,Fresh Pond Mexican Restaurant,483
143,Super Pollo Restaurant,1349
144,La Palina,784
145,Don Pepe Restaurant,315
146,Alchemy Restaurant & Bar,44
147,Amin Indian Cuisine,54
148,No. 1 Chinese Restauant,1048
149,National,979
150,Kinara's,720
151,Sun Wah Restaurant,1343
152,Psari Seafood Restaurant & Bar,1187
153,Latin Cabana Restaurant,809
154,Vista Hermosa Restaurant,1468
155,Guacamole Restaurant,564
156,New Wah Restaurant,1033
157,Hong Kong,611
158,Dragon Village Chinese Restaurant,330
159,Halal Kitchen Chinese Restaurant,578
160,Sabor Latino Seafood Restaurant,1261
161,Premium Sweets & Restaurant,1182
162,Brisas Del Caribe Restaurant,170
163,New Hong Fa,1013
164,Evo cocktail lounge & restaurant,436
165,Bengal Restaurant,134
166,Dynasty Chinese Restaurant,335
