,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
0,Golden Dynasty,ChIJNbpEQ-BEwokRdlNMRGinEyk,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",88.0,1.0,,"6316 Bay Parkway, Brooklyn",40.614802,-73.98080569999999
1,Ortobello's,ChIJGVsYUuBEwokRHsFR2Poibfk,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",280.0,2.0,,"6401 Bay Parkway, Brooklyn",40.61428610000001,-73.9807222
2,Pizza Daddy,ChIJOU6CNeBEwokRDa6Upx1R45A,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",427.0,2.0,,"6422 Bay Parkway, Brooklyn",40.6140682,-73.9814573
3,Star Park,ChIJq6rZbCBFwokRkW7bvZi-Mzk,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,,,"6201 20th Avenue, Brooklyn",40.61803219999999,-73.9839327
4,Rona Food Corporation,ChIJv_d_cCBFwokRbwnIrac5ZsA,5.0,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,,,"6113 20th Avenue, Brooklyn",40.6183406,-73.9836648
5,Verona on the Grill,ChIJv_d_cCBFwokReDkszvnYsjM,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",41.0,1.0,,"6113 20th Avenue, Brooklyn",40.6183526,-73.9836687
6,Popeyes Louisiana Kitchen,ChIJBddcYv9FwokR8_V-V8kQwX0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.0,1.0,,"6417 Bay Parkway, Brooklyn",40.6139079,-73.98090239999999
7,Yumi Bakery,ChIJKwCZ9_VFwokRD1sKzBe9DnE,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"6305 20th Avenue, Brooklyn",40.617348,-73.98460299999999
8,Qiu's House,ChIJsVP9ruFEwokRzgIxntkKsxA,4.7,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",30.0,,,"2229 65th Street, Brooklyn",40.61351579999999,-73.9803835
9,Tasty Garden,ChIJVVWGhh9FwokRzrH8_6uA1Y0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"6415 20th Avenue, Brooklyn",40.6166739,-73.9854019
10,La Cemita,ChIJbVJJhB9FwokRYsT-jqnqbPo,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",127.0,1.0,,"6417 20th Avenue, Brooklyn",40.61661909999999,-73.98542479999999
11,Europa Pizzeria,ChIJ_fGRhB9FwokRGjbeKS6b1wU,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",505.0,2.0,,"6423 20th Avenue, Brooklyn",40.6165711,-73.9855453
12,Golden Bay Kitchen,ChIJyQkYQPBFwokRJG3CPX7PRZ8,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"6604 Bay Parkway, Brooklyn",40.6132298,-73.98239459999999
13,好儿女,ChIJl3hJ40tFwokRDpalUOPUQ10,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"6604 Bay Parkway, Brooklyn",40.613216,-73.9823557
14,E Dim Sum,ChIJtX7nsztFwokRlFQgPLNvjJI,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",14.0,,,"2006 65th Street, Brooklyn",40.6162471,-73.9857346
15,Golden City 煌嘉囍宴,ChIJq6pagB9FwokRC6Gpbh_3kHY,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",343.0,2.0,,"6418 20th Avenue, Brooklyn",40.6168953,-73.9858036
16,Nasima's Express,ChIJcwZUV7BFwokRidKc1kBCTkY,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,Brooklyn,40.6129817,-73.9822377
17,McDonald's,ChIJ-ztJ3uFEwokR-tPqlsIeqsA,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1048.0,1.0,,"6620 Bay Parkway, Brooklyn",40.6128951,-73.982663
18,Dunkin',ChIJYceQ4OFEwokRpfqkxaXp6Tg,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",141.0,1.0,,"6627 Bay Parkway, Brooklyn",40.6127558,-73.9823169
19,Jing Xin Soon,ChIJlRB16OFEwokRv1-Zx27XlX4,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"6627 Bay Parkway, Brooklyn",40.6127151,-73.982238
20,Tova Kosher Pizza,ChIJt3cBtixFwokR65YG1H84yfU,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"4514 13th Avenue, Brooklyn",40.63713199999999,-73.990337
21,Benny's Famous Pizza,ChIJv_TSW9RawokR1tRrEEjtpcM,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",300.0,,,"4514 13th Avenue, Brooklyn",40.63713199999999,-73.990337
22,China Glatt,ChIJAXQOU9NawokR0QPQ1nvCy2k,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",697.0,2.0,,"4413 13th Avenue, Brooklyn",40.63746,-73.9893864
23,Upside Now!,ChIJx8KV9IpFwokRpKrgJVVPkMY,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",186.0,,,"4621 13th Avenue, Brooklyn",40.636153,-73.9906129
24,Amnon's Kosher Pizza,ChIJi9IXAS1FwokRzW4igeHSUkg,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1192.0,1.0,,"4814 13th Avenue, Brooklyn",40.6353492,-73.9919815
25,Chris’s,ChIJiWcUuKFbwokRFdDHyDHHNV4,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"1254 42nd Street, Brooklyn",40.6391508,-73.98890779999999
26,Falfamania,ChIJDcleHQtbwokRIloSfcm0pO8,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,"4305 12th Avenue, Brooklyn",40.63945820000001,-73.9908597
27,Orchidea Restaurant,ChIJ1UvAaS1FwokRaydaGXUQCqE,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",409.0,2.0,,"4815 12th Avenue, Brooklyn",40.6366357,-73.9937528
28,Spoons,ChIJoV0CuS1FwokRuBQ7ck5P_Dg,4.3,"['meal_delivery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",451.0,2.0,,"5001 13th Avenue, Brooklyn",40.6342198,-73.9924796
29,Platers & co New York,ChIJpad_X9RawokRLN9SHld8Zrs,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"4021 13th Avenue, Brooklyn",40.6395254,-73.98712359999999
30,Asia Glatt Kosher,ChIJVyveXy1FwokRKc-Vb1whgIQ,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",324.0,2.0,,"4813 New Utrecht Avenue, Brooklyn",40.6369407,-73.9944782
31,Nu Cafe 47,ChIJZ1eYUy1FwokRPVFUUEMpv-4,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",69.0,2.0,,"4709 New Utrecht Avenue, Brooklyn",40.63788389999999,-73.9944213
32,The Loft Steakhouse - Party Room,ChIJS6Opt4lbwokRmsR3twS3IlE,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"4009 13th Avenue, Brooklyn",40.6397273,-73.9869453
33,The Loft Steakhouse,ChIJL256UNRawokRrFQgMDgOXBM,4.9,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1540.0,3.0,,"1306 40th Street, Brooklyn",40.6397244,-73.9868212
34,El Morro Tecleño,ChIJ4WVuW9RawokRDb2UsMR-34w,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",8.0,,,"4005 13th Avenue, Brooklyn",40.6398592,-73.98683609999999
35,Rita's Italian Ice & Frozen Custard,ChIJNYaCjaBFwokRd7hKsdU3GZk,4.3,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",6.0,1.0,,"1311 51st Street, Brooklyn",40.6337809,-73.9928396
36,Table 40,ChIJLeNeWtRawokRsyBc5FDjiag,4.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",322.0,2.0,,"4001 13th Avenue, Brooklyn",40.6399,-73.9868
37,Sesame - Boro Park,ChIJWzNzPq5FwokRpGctDFofO4s,4.8,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",156.0,,,"5024 13th Avenue, Brooklyn",40.63406339999999,-73.99334139999999
38,Las Marinas,ChIJCeJ-ENVawokRaZXP4P2sWz8,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,,"4018 14th Avenue, Brooklyn",40.63846159999999,-73.9852461
