,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
0,Urbana,ChIJVVUBBi5FwokR50VGU0rFcT0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",477,2.0,,"1305 53rd Street, Brooklyn",40.632668699999996,-73.9940434
1,Sub Express,ChIJ39jfBi5FwokRONL9Vx5uW7w,4.1,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",480,2.0,,"5217 13th Avenue, Brooklyn",40.6328756,-73.9941569
2,Sushi Meshuna,ChIJWSAR5y1FwokROepafQL49JU,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",217,1.0,,"5115 13th Avenue, Brooklyn",40.6333737,-73.9934571
3,Dips,ChIJw1JEHC5FwokRP1qIrecfA1Y,4.8,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",572,2.0,,"5315 13th Avenue, Brooklyn",40.632276,-73.99451499999999
4,Rita's Italian Ice & Frozen Custard,ChIJNYaCjaBFwokRd7hKsdU3GZk,4.3,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",6,1.0,,"1311 51st Street, Brooklyn",40.6337809,-73.9928396
5,Deli 52,ChIJF0ZZ5S1FwokRp3vbZqKA1fE,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",519,2.0,,"5120 13th Avenue, Brooklyn",40.6336362,-73.9939115
6,Panino Toasty Delicious,ChIJSWKSekpFwokRWTVZwsreS_I,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",121,,,"5401 13th Avenue, Brooklyn",40.6320159,-73.994917
7,J2 Pizza,ChIJbwMH7y1FwokRSLWO1_ew2D8,4.1,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",96,2.0,,"5114 13th Avenue, Brooklyn",40.633749,-73.993828
8,Ess&Bentch Boro Park,ChIJhcDp_s1FwokRSCI0LfhNgSY,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",59,,,"5326 13th Avenue, Brooklyn",40.6324499,-73.99506339999999
9,Sesame - Boro Park,ChIJWzNzPq5FwokRpGctDFofO4s,4.8,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",156,,,"5024 13th Avenue, Brooklyn",40.63406339999999,-73.99334139999999
10,Gobo's Cafe,ChIJv8ja2zFFwokRM29S4wxvTfw,4.4,"['cafe', 'meal_delivery', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",307,2.0,,"5421 New Utrecht Avenue, Brooklyn",40.6316373,-73.995203
