,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
0,Taste 'n Toast,ChIJIZ1iWDvxZUARFTFQdNz__zY,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,"5516 New Utrecht Avenue, Brooklyn",40.6310003,-73.99579320000002,Brooklyn,Borough Park
1,Kim Ess Doo,ChIJo8qv7ZZFwokRDyIWbbdbAT4,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",118.0,1.0,"5507 13th Avenue, Brooklyn",40.631249200000006,-73.9957671,Brooklyn,Borough Park
2,Cafe Pobeda,ChIJ3blGNDBFwokR9n92csKLHGk,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",232.0,,"5610 New Utrecht Avenue #4631, Brooklyn",40.630615,-73.995976,Brooklyn,Borough Park
3,Gobo's Cafe,ChIJAREfbUlFwokRyc0APiYVMbM,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,,"5421 New Utrecht Avenue, Brooklyn",40.6315888,-73.995292,Brooklyn,Borough Park
4,"Luzee Takeout, Kosher Deli, Catering",ChIJNTbi2zFFwokRToG0YfqOGRQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,"5421 New Utrecht Avenue # A, Brooklyn",40.63162839999999,-73.9952991,Brooklyn,Borough Park
5,Gobo's Cafe,ChIJv8ja2zFFwokRM29S4wxvTfw,4.4,"['cafe', 'meal_delivery', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",307.0,2.0,"5421 New Utrecht Avenue, Brooklyn",40.6316373,-73.995203,Brooklyn,Borough Park
6,Meisner's Take Home Food,ChIJt5U95jFFwokRWg58GhTaYsk,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,,"5410 New Utrecht Avenue, Brooklyn",40.6321993,-73.9955413,Brooklyn,Borough Park
7,MASBIA of Boro Park,ChIJhTda7zFFwokR07qPxM-5SeA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,,"5402 New Utrecht Avenue, Brooklyn",40.63236,-73.99551899999999,Brooklyn,Borough Park
8,Panino Toasty Delicious,ChIJSWKSekpFwokRWTVZwsreS_I,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",121.0,,"5401 13th Avenue, Brooklyn",40.6320159,-73.994917,Brooklyn,Borough Park
9,Schnitzi,ChIJFWip-jFFwokR2VEXLlzEA6Y,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",438.0,1.0,"5326 New Utrecht Avenue, Brooklyn",40.63263900000001,-73.995474,Brooklyn,Borough Park
