,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
0,Taste 'n Toast,Taste,90,"5516 New Utrecht Avenue, Brooklyn",brooklyn,90
1,Kim Ess Doo,Hong Doo Ke Restaurant,86,"5507 13th Avenue, Brooklyn",brooklyn,90
2,Cafe Pobeda,Stars Cafe & Restaurant,86,"5610 New Utrecht Avenue #4631, Brooklyn",5610 New Utrecht Ave,90
3,Gobo's Cafe,Theresa's Polish American Restaurant,86,"5421 New Utrecht Avenue, Brooklyn",brooklyn,90
4,"Luzee Takeout, Kosher Deli, Catering",Club Deli Restaurant,86,"5421 New Utrecht Avenue # A, Brooklyn",brooklyn,90
5,Meisner's Take Home Food,Theresa's Polish American Restaurant,86,"5410 New Utrecht Avenue, Brooklyn",brooklyn,90
6,MASBIA of Boro Park,Ranch Restaurant and Bar of Guyana,86,"5402 New Utrecht Avenue, Brooklyn",brooklyn,90
7,Panino Toasty Delicious,Deli,90,"5401 13th Avenue, Brooklyn",brooklyn,90
8,Schnitzi,Schnitzi Food Truck,90,"5326 New Utrecht Avenue, Brooklyn",brooklyn,90
9,Ess&Bentch Boro Park,Miller's Ale House - Rego Park,86,"5326 13th Avenue, Brooklyn",brooklyn,90
10,Dips,Paradise Restaurant,68,"5315 13th Avenue, Brooklyn",brooklyn,90
11,Yossi's Sweet House,Yossi's,90,"5304 New Utrecht Avenue, Brooklyn",brooklyn,90
12,Urbana,Urban Market By Key Food,78,"1305 53rd Street, Brooklyn",brooklyn,90
13,Sub Express,Cam Tak Express Restaurant,86,"5217 13th Avenue, Brooklyn",brooklyn,90
14,Deli 52,Deli,90,"5120 13th Avenue, Brooklyn",brooklyn,90
15,Sushi Meshuna,Ginpachi Sushi Restaurant,86,"5115 13th Avenue, Brooklyn",brooklyn,90
16,J2 Pizza,Pizza Pizza,95,"5114 13th Avenue, Brooklyn",brooklyn,90
17,El Buffalito Grill,Golden Krust Caribbean Bakery and Grill,86,"6012 New Utrecht Avenue, Brooklyn",6012 New Utrecht Ave,90
18,Le Buffet,Fine Style Buffet Jamaican Food,90,"5501 17th Avenue, Brooklyn",7th Ave,90
19,JII Pizza,Pizza Pizza,95,"5502 18th Avenue, Brooklyn",18th Avenue,90
20,Vaad Hachnosas Orchim Guest,Oaks,68,"1733 52nd Street, Brooklyn",brooklyn,90
21,Veggies Inc,Sunshine Restaurant Food & Catering Inc,86,"5301 18th Avenue, Brooklyn",18th Avenue,90
22,Glatt A La Carte,Arte,90,"5123 18th Avenue, Brooklyn",18th Avenue,90
23,MSL Estates,Taste,72,"1725 51st Street, Brooklyn",brooklyn,90
24,Kaff Kafe,Kaff's Bake Shop,86,"5320 16th Avenue, Brooklyn",brooklyn,90
25,Big Fleishig's Express,Theresa's Polish American Restaurant,86,"5508 16th Avenue, Brooklyn",brooklyn,90
26,City cafe kosher,Cafe 47,86,"4923 18th Avenue, Brooklyn",18th Avenue,90
27,Sushi Glatt,Ginpachi Sushi Restaurant,86,"5009 16th Avenue, Brooklyn",brooklyn,90
28,Moti's,Moti's,100,"5007 16th Avenue, Brooklyn",5007 16th Ave,90
29,Hadar Geulah,Fada,68,"5914 18th Avenue, Brooklyn",18th Avenue,90
30,Bh Food Corporation,Food Corp,90,"1914 53rd Street, Brooklyn",brooklyn,90
31,Dagan Dairy,Dagan Pizza & Dairy Restaurant,86,"4820 16th Avenue, Brooklyn",4820 16th Ave,90
32,Lieberman Luncheonette,One & One,86,"4801 16th Avenue, Brooklyn",brooklyn,90
33,A & L Pizza Restaurant,Pizza Restaurant,95,"6024 18th Avenue, Brooklyn",18th Avenue,90
34,Anita's,marianita's restaurant,90,"6100 16th Avenue, Brooklyn",brooklyn,90
35,Good Day,Good Day Seafood Restaurant,90,"6202 18th Avenue, Brooklyn",6202 18th Ave,90
36,Like Cafe,Stars Cafe & Restaurant,86,"6205 18th Avenue, Brooklyn",6205 18th Ave,90
37,10AM Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
38,10am Breakfast Bar,Bar Sol De Quito Restaurant II,86,"3808 13th Avenue, Brooklyn",3808 13th Ave,90
39,VIP Grill,Golden Krust Caribbean Bakery and Grill,86,"3715 13th Avenue, Brooklyn",brooklyn,90
40,Sin Fronteras Restaurant,Sin Fronteras Restaurant,100,"3913 13th Avenue, Brooklyn",3913 13th Ave,90
41,Table 40,Table 40,100,"4001 13th Avenue, Brooklyn",4001 13th Ave,90
42,El Morro Tecleño,El Morro Restaurant & Bar,86,"4005 13th Avenue, Brooklyn",brooklyn,90
43,The Loft Steakhouse,The Loft BKNY Restaurant & Lounge,86,"1306 40th Street, Brooklyn",brooklyn,90
